|,id,name,rating,ratings,vicinity,geometry__location__lat,geometry__location__lng,geometry__viewport,geometry__viewport__lat,geometry__viewport__lng,website,address,city,zipcode_area,types__001,types__002,types__003,types__004,types__005,types__006,types__007,types__008,types__009
ChIJHW1weYDIwoAR-m0Sj68brnw,ChIJHW1weYDIwoAR-m0Sj68brnw,Alondras,4.5,2,Los Angeles,34.0226835,-118.2523461,northeast,34.02399543,-118.2509497,,,Los Angeles,90240,beauty_salon,hair_care,,,,,,,
ChIJnZHoEffJwoARP1ueLxo6VBg,ChIJnZHoEffJwoARP1ueLxo6VBg,Universal Community Health Center,5,29,"2098 South Central Avenue, Los Angeles",34.0225412,-118.2521144,northeast,34.02392908,-118.2508267,http://www.uchcla.org/,2098 South Central Avenue, Los Angeles,90240,health,,,,,,,,
ChIJ12Vf1vnJwoARYKCnP_B15Os,ChIJ12Vf1vnJwoARYKCnP_B15Os,Riggs Legal,4.8,16,"2098 South Central Avenue #739, Los Angeles",34.0225412,-118.2521144,northeast,34.02392908,-118.2508267,,2098 South Central Avenue #739, Los Angeles,90240,lawyer,,,,,,,,
ChIJ-cjRZIDIwoAR7rvZc4Rgf3s,ChIJ-cjRZIDIwoAR7rvZc4Rgf3s,"Dr. Juan Pocholo B. Cancio, DDS",,,"2050 South Central Avenue, Los Angeles",34.0227256,-118.2518678,northeast,34.02415268,-118.2504531,,2050 South Central Avenue, Los Angeles,90240,dentist,health,,,,,,,
ChIJt9U_eYDIwoARwdrkeHpvwRA,ChIJt9U_eYDIwoARwdrkeHpvwRA,Aerobics Fitness Pierda Peso,,,"2111 South Central Avenue, Los Angeles",34.0226244,-118.2523986,northeast,34.02394003,-118.2509971,,2111 South Central Avenue, Los Angeles,90240,gym,health,,,,,,,
ChIJY2RweYDIwoARDtZiAL_VSyY,ChIJY2RweYDIwoARDtZiAL_VSyY,Lara's Discount,,,"2109 South Central Avenue, Los Angeles",34.0227125,-118.2524933,northeast,34.02399293,-118.2510363,,2109 South Central Avenue, Los Angeles,90240,store,,,,,,,,
ChIJHUlqeYDIwoARn1vT7iBMyGc,ChIJHUlqeYDIwoARn1vT7iBMyGc,Five Stars,,,"2109 South Central Avenue, Los Angeles",34.0227125,-118.2524952,northeast,34.02399258,-118.2510376,,2109 South Central Avenue, Los Angeles,90240,store,,,,,,,,
ChIJj5wGeYDIwoAR46nyENYJN9I,ChIJj5wGeYDIwoAR46nyENYJN9I,Harmonious Healing,5,1,"2113 South Central Avenue, Los Angeles",34.022611,-118.252502,northeast,34.02389663,-118.2510827,http://www.harmonioushealing.com/,2113 South Central Avenue, Los Angeles,90240,,,,,,,,,
ChIJEV7-cIDIwoARbA-5vkzwQog,ChIJEV7-cIDIwoARbA-5vkzwQog,Los Compadres Restaurante,4.5,183,"2031 South Central Avenue, Los Angeles",34.0230875,-118.252059,northeast,34.02436273,-118.2507568,,2031 South Central Avenue, Los Angeles,90240,restaurant,food,,,,,,,
ChIJ36xKcIDIwoARnnk5ER5_jWE,ChIJ36xKcIDIwoARnnk5ER5_jWE,Florencio Recycling Inc.,4.3,8,"2031 South Central Avenue, Los Angeles",34.0231181,-118.2520248,northeast,34.02441928,-118.250598,,2031 South Central Avenue, Los Angeles,90240,,,,,,,,,
