id,street_address,city,state,zip_code
1962,4061 Avalon Blvd,Los Angeles,CA,90011
1966,1537 E Adams Blvd,Los Angeles,CA,90011
1967,1394 1/2 N Serrano Avenue,Los Angeles,CA,90027
1973,2835 Hyperion Avenue,Los Angeles,CA,90027
1977,1936 1/2 N Alexandria Avenue,Los Angeles,CA,90027
1980,4720 Los Feliz Blvd #9,Los Angeles,CA,90027
1982,1509 Talmadge Street,Los Angeles,CA,90027
1994,1540 Armacost Avenue Unit #104,Los Angeles,CA,90025
1997,1217 Amherst Avenue #8,Los Angeles,CA,90025
1999,12401 Wilshire Blvd #103,Los Angeles,CA,90025
2002,1478 E 21St Street,Los Angeles,CA,90011
2006,10436 Santa Monica Blvd Suite #400,Los Angeles,CA,90025
2009,1460 E 25Th Street,Los Angeles,CA,90011
2011,12121 Wilshire Blvd #525,Los Angeles,CA,90025
2012,2506 S San Pedro Street,Los Angeles,CA,90011
2018,4520 W Sunset Blvd,Los Angeles,CA,90027
2021,307 E Jefferson Blvd Space #111/454,Los Angeles,CA,90011
2025,1519 Stoner Avenue #8,Los Angeles,CA,90025
2027,10436 Santa Monica Blvd Stop #400,Los Angeles,CA,90025
2030,4206 Los Feliz Blvd #3,Los Angeles,CA,90027
2042,10635 Santa Monica Blvd #200,Los Angeles,CA,90025
2046,10787 Missouri Avenue #304,Los Angeles,CA,90025
2051,4618 Fern Place,Los Angeles,CA,90032
2052,12400 Wilshire Blvd Suite #1120,Los Angeles,CA,90025
2057,429 E 20Th Street,Los Angeles,CA,90011
2065,12301 Wilshire Blvd Suite #650,Los Angeles,CA,90025
2071,1311 Bates Avenue,Los Angeles,CA,90027
2074,10436 Santa Monica Blvd Suite #400,Los Angeles,CA,90025
2079,11040 Santa Monica Blvd Suite #404,Los Angeles,CA,90025
2084,221 E 52Nd Street,Los Angeles,CA,90011
2090,12021 Wilshire Blvd #424,Los Angeles,CA,90025
2095,2645 N Vermont Avenue,Los Angeles,CA,90027
2097,3670 Amesbury Road,Los Angeles,CA,90027
